Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,983795,-,-,-,42.29,-83.74,-5,263,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DHI,DNI,Solar Zenith Angle,Precipitable Water,Temperature,Relative Humidity,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,13,30,218,1,66,0.30000000000000004,-4.9,61.61,20,4.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,14,30,253,80,69.76,0.30000000000000004,-5.2,61.42,23,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,15,30,113,1,75.87,0.30000000000000004,-5.9,63.4,27,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,16,30,46,0,83.74,0.30000000000000004,-7.2,66.48,29,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,17,30,0,0,93.15,0.30000000000000004,-8.3,68.35000000000001,31,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,18,30,0,0,103.31,0.30000000000000004,-9,71.63,34,2.3000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,19,30,0,0,114.05,0.30000000000000004,-9.7,75.19,39,1.9000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,20,30,0,0,125.09,0.30000000000000004,-10.3,79.19,47,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,21,30,0,0,136.12,0.30000000000000004,-10.6,81.56,59,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,22,30,0,0,146.63,0.30000000000000004,-11,83.55,75,1.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
